Rettighetsnummer;Rettighetsnavn;Rettighetstype;Rettighetshaver;Organisasjonsnummer;Status;Mottatt;Godkjent;Mineral;Kommunenummer;Kommunenavn;Fylkesnummer;Fylkesnavn;Geometri
0354/2025;Tørdal 3;UNDERSOEKELSESRETT;Mineral Holding AS;996720535;Godkjent;2025-01-14;2025-01-31;Molybden,REE;4016,4030;Drangedal,Nissedal;40;Telemark;POLYGON ((8.67643379575163 59.1919687685295,8.71143987178349 59.192051172432,8.71181785124923 59.1471496955173,8.67685762717497 59.1470674374635,8.67643379575163 59.1919687685295))
0355/2025;Tørdal 4;UNDERSOEKELSESRETT;Mineral Holding AS;996720535;Godkjent;2025-01-14;2025-01-31;Molybden,REE;4016,4030;Drangedal,Nissedal;40;Telemark;POLYGON ((8.64142792965948 59.191876939869,8.67643379575163 59.1919687685295,8.67685762717497 59.1470674374635,8.64189761213379 59.1469757713321,8.64142792965948 59.191876939869))
0356/2025;Tørdal 5;UNDERSOEKELSESRETT;Mineral Holding AS;996720535;Godkjent;2025-01-14;2025-01-31;Molybden,REE;4016;Drangedal;40;Telemark;POLYGON ((8.71166679956062 59.165110323968,8.81660347299481 59.1653007835271,8.81667554302549 59.1518302157289,8.71178010581657 59.1516398573418,8.71166679956062 59.165110323968))
0364/2025;Tjelle 1;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Jern,Titan,Vanadium,Zirkonium;1506;Molde;15;Møre og Romsdal;POLYGON ((7.89016721382119 62.7937731513928,7.98817252401078 62.7945120960139,7.98878789262099 62.7765637738399,7.89084215837511 62.775825395623,7.89016721382119 62.7937731513928))
0365/2025;Tjelle 2;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Jern,Titan,Vanadium,Zirkonium;1506;Molde;15;Møre og Romsdal;POLYGON ((7.88949133854211 62.8117208569105,7.98755630678102 62.8124603686251,7.98817252401078 62.7945120960139,7.89016721382122 62.7937731513928,7.88949133854211 62.8117208569105))
0366/2025;Tjelle 3;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Jern,Titan,Vanadium,Zirkonium;1506;Molde;15;Møre og Romsdal;POLYGON ((7.81194787191174 62.7886460428879,7.89033603714368 62.7892862171621,7.89117928220159 62.7668514988896,7.81285065195501 62.766211937795,7.81194787191174 62.7886460428879))
0367/2025;Tjelle 4;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Jern,Titan,Vanadium,Zirkonium;1506;Molde;15;Møre og Romsdal;POLYGON ((7.81104353577693 62.8110800685238,7.88949133854211 62.8117208569105,7.89033603714368 62.789286217162,7.81194787191174 62.7886460428879,7.81104353577693 62.8110800685238))
0368/2025;Tjelle 5;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Jern,Titan,Vanadium,Zirkonium;1557,1506;Gjemnes,Molde;15;Møre og Romsdal;POLYGON ((7.81013763971903 62.8335140147255,7.88864518281769 62.8341554181599,7.88949133854211 62.8117208569105,7.81104353577693 62.8110800685238,7.81013763971903 62.8335140147255))
0369/2025;Fagerfjell 2;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Kobber,Kobolt,Sink,Titan,Vanadium,Zirkonium;1554;Averøy;15;Møre og Romsdal;POLYGON ((7.46106569473054 62.975788592535,7.5793847631231 62.977027433707,7.58003793065313 62.9635685864216,7.46177321246751 62.9623304607048,7.46106569473054 62.975788592535))
0371/2025;Volda 1;UNDERSOEKELSESRETT;ELEMENT29 AS;931710508;Godkjent;2025-01-15;2025-01-31;Jern,Niob,Titan,Vanadium,Zirkonium;1577;Volda;15;Møre og Romsdal;POLYGON ((6.09347942520903 62.1360046483863,6.18925214145834 62.1379835025175,6.19091394217598 62.1200522716257,6.09519765867587 62.1180749085356,6.09347942520903 62.1360046483863))
